feature,source,identified_name,isomer,Mode,Adduct,MMD,KEGGID,HMDBID
HILIC_139.111769264676_94.8194746471648,annotation,"Nona-2,6-dienal",N,C18,M+H,N,C08499,HMDB0033857
HILIC_139.11181073937_293.424799619997,annotation,"3,6-Nonadienal",N,C18,M+H,N,C16323,HMDB0031152
C18_140.001908816162_32.7242413235755,annotation,Cyanopyrazine,N,C18,M+Cl,N,C02018,HMDB0034176
C18_140.011861597031_25.7747914728259,annotation,Ethanolamine phosphate,N,C18,M-H,Y,C00346,HMDB0000224
C18_140.035407852872_91.0558736123108,annotation,2-Aminomuconate semialdehyde,N,C18,M-H,N,C03824,HMDB0001280
HILIC_140.037429879845_61.3558985578867,annotation,3-Aminopropanesulfonate,N,C18,M+H,Y,C03349,HMDB0253211
HILIC_140.107046450035_268.190625823055,annotation,Tropinone,N,C18,M+H,N,C00783,HMDB0304521
HILIC_140.985826801746_173.750984668221,annotation,Sulfoacetate,N,C18,M+H,Y,C14179,HMDB0258590
C18_140.986138039525_256.559367262019,annotation,Sulfite,N,C18,M+Hac-H,N,C00094,HMDB0000240
HILIC_140.994859845918_58.3851481624834,annotation,Acetyl phosphate,N,C18,M+H,N,C00227,HMDB0001494
C18_141.019381081718_286.15896153274,annotation,2-Hydroxymuconate semialdehyde,N,C18,M-H,N,C00682,NA
C18_141.03063347063_287.032479862028,annotation,5-Hydroxymethyluracil,N,C18,M-H,N,C03088,HMDB0000469
C18_141.048023120193_61.0441638569951,annotation,Ethylbenzene,N,C18,M+Cl,Y,C07111,HMDB0059905
HILIC_141.09104625281_288.321179728726,annotation,2-n-Propyl-4-oxopentanoic acid,N,C18,M+H-H2O,N,C16655,HMDB0060683
HILIC_141.090966537866_28.7197892998119,annotation,"2-Propyl-2,4-pentadienoic acid",N,C18,M+H,N,C16656,HMDB0060682
HILIC_141.113510963695_240.721355200396,annotation,Buformin,N,C18,M+H-NH3,N,C07674,HMDB0249431
HILIC_141.12732177816_28.4092560326778,annotation,Nonanoic acid,N,C18,M+H-H2O,Y,C01601,HMDB0000847
C18_142.012145072534_36.347336992698,annotation,Glycine,N,C18,M-H+HCOONa,N,C00037,HMDB0000123
HILIC_142.026436553896_115.001040389163,annotation,Ethanolamine phosphate,N,C18,M+H,Y,C00346,HMDB0000224
HILIC_142.049928458224_86.3110304721128,annotation,"(2Z,4S,5R)-2-Amino-4,5,6-trihydroxyhex-2-enoate",N,C18,M+H-2H2O,N,C20844,NA
HILIC_142.049971090917_283.693642138525,annotation,3-Keto-scyllo-inosamine,N,C18,M+H-2H2O,N,C17576,NA
HILIC_142.086277698626_94.0578711269233,annotation,Hypoglycin,N,C18,M+H,N,C08287,HMDB0029427
HILIC_142.086297856688_294.326075790041,annotation,Arecaidine,N,C18,M+H,N,C10128,HMDB0030352
HILIC_142.122707526241_30.7816440241964,annotation,Trachelanthamidine,N,C18,M+H,N,C12440,NA
C18_143.007014860707_73.9727078099995,annotation,Hydroxyurea,N,C18,M-H+HCOONa,N,C07044,HMDB0015140
C18_143.034968279357_266.509250524494,annotation,4-Hydroxy-2-butynal,N,C18,M+Hac-H,N,C02648,NA
C18_143.034976640139_28.7087402886141,annotation,3-Butynoate,N,C18,M+Hac-H,Y,C06144,NA
HILIC_143.048606093972_174.801518723307,annotation,"Naphthalene-1,2-diol",N,C18,M+H-H2O,N,C03012,HMDB0060497
HILIC_143.070374426724_281.798814103923,annotation,4-Oxocyclohexanecarboxylate,N,C18,M+H,N,C03767,NA
C18_143.071338064025_25.1891408334116,annotation,trans-4-Hydroxycyclohexanecarboxylate,N,C18,M-H,N,C04404,NA
HILIC_143.081497599026_93.7774798911948,annotation,Ectoine,N,C18,M+H,N,C06231,HMDB0240650
HILIC_143.081576131453_240.895140236295,annotation,delta-Guanidinovaleric acid,N,C18,M+H-NH3,N,C13688,HMDB0250978
HILIC_143.106747938047_288.494404070291,annotation,Cyclohexyl acetate,N,C18,M+H,N,C12297,HMDB0031352
C18_143.107738311041_230.919527735251,annotation,Valproic acid,N,C18,M-H,N,C07185,HMDB0001877
C18_144.012496498406_26.9391532215358,annotation,"3,4-Dehydrothiomorpholine-3-carboxylate",N,C18,M-H,N,C04445,NA
C18_144.030250992784_288.103111983552,annotation,2-Oxoglutaramate,N,C18,M-H,N,C00940,HMDB0001552
C18_144.04553259938_286.62529620779,annotation,4-Hydroxyquinoline,N,C18,M-H,N,C06343,HMDB0246466
HILIC_144.065604450406_297.632756868805,annotation,2-Hydroxymethylclavam,N,C18,M+H,N,C17357,NA
C18_144.066609192242_23.3647336670245,annotation,4-Acetamidobutanoate,N,C18,M-H,N,C02946,HMDB0003681
HILIC_144.080814501859_47.5542068455586,annotation,Tryptamine,N,C18,M+H-NH3,N,C00398,HMDB0000303
C18_145.014255040112_21.6769411671531,annotation,2-Oxoglutarate,N,C18,M-H,N,C00026,HMDB0000208
HILIC_145.049524437207_48.9662019304669,annotation,(R)-2-Ethylmalate,N,C18,M+H-H2O,N,C02488,HMDB0059758
HILIC_145.049593247424_284.331549912931,annotation,Lichenin,N,C18,M+H-H2O,N,C00478,NA
C18_145.061895333097_26.7982057630586,annotation,L-Glutamine,N,C18,M-H,Y,C00064,HMDB0000641
HILIC_145.097204497943_199.965459255288,annotation,2-Deoxystreptamine,N,C18,M+H-H2O,Y,C02627,NA
C18_145.09829409997_67.6409522671376,annotation,L-Lysine,N,C18,M-H,Y,C00047,HMDB0000182
C18_145.97675541359_71.8573568695843,annotation,"6-Chloro-1,3,5-triazine-2,4(1H,3H)-dione",N,C18,M-H,N,C08736,NA
C18_146.024777358978_287.728689734192,annotation,Isatin,N,C18,M-H,N,C11129,HMDB0061933
C18_146.045895429823_22.1205382172459,annotation,L-Glutamate,N,C18,M-H,N,C00025,HMDB0000148
HILIC_146.060056160408_98.2486455535145,annotation,Indole-3-carboxaldehyde,N,C18,M+H,N,C08493,HMDB0029737
HILIC_146.081138165092_86.2645316627198,annotation,6-Amino-2-oxohexanoate,N,C18,M+H,N,C03239,HMDB0012151
C18_146.082291253901_27.980059776366,annotation,N-Hydroxy-L-isoleucine,N,C18,M-H,Y,C20310,NA
HILIC_146.117527511084_51.344594330973,annotation,4-Trimethylammoniobutanoate,N,C18,M+H,Y,C01181,HMDB0001161
HILIC_146.165332699274_225.633319044962,annotation,Spermidine,N,C18,M+H,N,C00315,HMDB0001257
C18_146.993544132858_294.043797885198,annotation,2-Hydroxy-3-oxosuccinate,N,C18,M-H,N,C03459,NA
HILIC_147.004475446876_31.3776667029848,annotation,"2-Hydroxy-1,4-benzoquinone",N,C18,M+Na,Y,C07103,NA
C18_147.029904162738_22.7004012866307,annotation,"D-Arabinono-1,4-lactone",N,C18,M-H,N,C00652,HMDB0302833
HILIC_147.05535094975_282.313865447717,annotation,(R)-2-Aza-beta-tyrosine,N,C18,M+H-2H2O,N,C21326,NA
C18_147.066294175418_22.5965407011424,annotation,(R)-Acetoin,N,C18,M+Hac-H,N,C00810,HMDB0303161
HILIC_147.076401295924_85.305521582854,annotation,L-Glutamine,N,C18,M+H,Y,C00064,HMDB0000641
HILIC_147.079901847125_86.7173031316236,annotation,Eugenol,N,C18,M+H-H2O,Y,C10453,HMDB0005809
HILIC_147.091130245035_84.22285379242,annotation,3-(Aminomethyl)indole,N,C18,M+H,N,C21601,NA
HILIC_147.112807546088_109.877178561485,annotation,L-Lysine,N,C18,M+H,Y,C00047,HMDB0000182
HILIC_147.11653709096_106.54689132615,annotation,Mephentermine,N,C18,M+H-NH3,N,C07889,HMDB0015452
HILIC_148.039357400196_288.835424513273,annotation,3-Amino-2-hydroxy-4-methoxybenzoate,N,C18,M+H-2H2O,N,C22425,NA
C18_148.040432745592_37.1170079621042,annotation,2-Formylaminobenzaldehyde,N,C18,M-H,N,C03574,NA
C18_148.040450134541_125.259276398765,annotation,4-Hydroxymandelonitrile,N,C18,M-H,N,C00650,NA
C18_148.043806350514_28.3189879291301,annotation,L-Methionine,N,C18,M-H,Y,C00073,HMDB0000696
HILIC_148.060402532525_77.7269784909342,annotation,O-Acetyl-L-serine,N,C18,M+H,N,C00979,HMDB0003011
HILIC_148.070785271947_79.5751256313425,annotation,Choline,N,C18,M+2Na-H,N,C00114,HMDB0000097
HILIC_148.075753883908_282.625851182366,annotation,L-Normetanephrine,N,C18,M+H-2H2O,N,C05589,HMDB0000819
HILIC_148.079705277727_83.0976517522338,annotation,5-Methylthiopentanaldoxime,N,C18,M+H,N,C17245,NA
HILIC_148.096843597161_225.786102948668,annotation,N-Hydroxy-L-isoleucine,N,C18,M+H,Y,C20310,NA
HILIC_148.961272743053_20.29847969075,annotation,Formyl phosphate,N,C18,M+Na,N,C02405,NA
HILIC_148.993438505111_72.3377169019516,annotation,Urea-1-carboxylate,N,C18,M+2Na-H,Y,C01010,HMDB0248159
HILIC_149.023381045586_289.791979065667,annotation,Isatinate,N,C18,M+H-NH3,N,C21155,NA
HILIC_149.059718456758_30.1401365570088,annotation,3-(2-Hydroxyphenyl)propanoate,N,C18,M+H-H2O,N,C01198,HMDB0033752
HILIC_149.059775869504_294.149974807104,annotation,3-Methoxy-4-hydroxyphenylacetaldehyde,N,C18,M+H-H2O,N,C05581,HMDB0005175
C18_149.060822801403_96.469679703394,annotation,Tolylacetate,N,C18,M-H,N,C01963,HMDB0032075
C18_149.060759041016_32.138501641171,annotation,4-Coumaryl alcohol,N,C18,M-H,N,C02646,HMDB0003654
HILIC_149.080709973057_83.7255971215895,annotation,(R)-Pantoate,N,C18,M+H,N,C00522,HMDB0240389
C18_150.04215162518_36.1121869271759,annotation,Guanine,N,C18,M-H,Y,C00242,HMDB0000132
HILIC_150.055046053791_283.79237008731,annotation,"2,3-Dihydroxyindole",N,C18,M+H,N,C02775,NA
C18_150.05602294551_30.5064570091913,annotation,N-Methylanthranilate,N,C18,M-H,Y,C03005,HMDB0032609
C18_150.056093983243_87.6942454928968,annotation,O-Methyl anthranilate,N,C18,M-H,N,C20634,NA
HILIC_150.058342033008_53.2025905302666,annotation,L-Methionine,N,C18,M+H,Y,C00073,HMDB0000696
C18_150.059220183064_23.0969403331325,annotation,3-Methylthiopropanamine,N,C18,M+FA-H,Y,C03354,NA
HILIC_150.077521473633_269.101804586772,annotation,6-Methylaminopurine,N,C18,M+H,N,C08434,HMDB0002099
HILIC_150.091389067621_281.850268693226,annotation,D-Cathinone,N,C18,M+H,N,C08301,NA
C18_150.988808417653_115.953172289005,annotation,"4,5-cis-Dihydroxy-1,2-dithiacyclohexane",N,C18,M-H,N,C06484,NA
HILIC_151.000875314581_184.269075640841,annotation,Isonicotinoyl radical,N,C18,M+2Na-H,N,C21754,NA
C18_151.007032987134_290.392871887466,annotation,Thioglycolate,N,C18,M+Hac-H,N,C02086,HMDB0254464
C18_151.007023483601_23.0823673415685,annotation,S-Methylthioglycolate,N,C18,M+FA-H,N,C03173,HMDB0035646
HILIC_151.024163820467_186.14000319154,annotation,meso-Tartaric acid,N,C18,M+H,N,C00552,NA
C18_151.026156447712_27.6074604220987,annotation,Xanthine,N,C18,M-H,N,C00385,HMDB0000292
HILIC_151.038882451136_183.017834772226,annotation,"3,4-Dihydroxyphenylacetate",N,C18,M+H-H2O,N,C01161,HMDB0001336
C18_151.04006632282_291.096013475453,annotation,4-Hydroxyphenylacetate,N,C18,M-H,N,C00642,HMDB0000020
C18_151.040056884247_31.1604084398338,annotation,4-Methoxybenzoate,N,C18,M-H,N,C02519,HMDB0001101
C18_151.04006995784_171.423542667423,annotation,Resorcinol monoacetate,N,C18,M-H,N,C12064,HMDB0257165
C18_151.051321266184_35.8593875705717,annotation,2-Amino-4-nitrotoluene,Y,C18,M-H,Y,C16398,NA
C18_151.051321266184_35.8593875705717,annotation,4-Amino-2-nitrotoluene,Y,C18,M-H,Y,C18320,NA
HILIC_151.075414373981_281.492123591844,annotation,Phenylpropanoate,N,C18,M+H,Y,C05629,HMDB0000764
HILIC_151.08665498027_283.69613520431,annotation,N-Methylanthranilamide,N,C18,M+H,N,C17512,HMDB0033947
HILIC_151.111732061032_28.2314979419682,annotation,p-Cumic alcohol,N,C18,M+H,N,C06576,HMDB0031817
HILIC_151.111826617788_289.626484694407,annotation,Perillyl aldehyde,N,C18,M+H,N,C02576,HMDB0003647
C18_152.002307498826_20.8561388346458,annotation,3-Sulfino-L-alanine,N,C18,M-H,Y,C00606,HMDB0000996
C18_152.035345405893_82.4567278415146,annotation,3-Hydroxy-2-methylpyridine-5-carboxylate,N,C18,M-H,N,C01270,NA
C18_152.035308918184_293.562613852667,annotation,3-Amino-4-hydroxybenzoate,N,C18,M-H,N,C12115,HMDB0304941
C18_152.046578305147_293.131792745143,annotation,"1,2-Diamino-4-nitrobenzene",Y,C18,M-H,N,C19384,HMDB0246528
C18_152.046578305147_293.131792745143,annotation,"1,4-Diamino-2-nitrobenzene",Y,C18,M-H,N,C19385,NA
HILIC_152.056712001714_55.6137439288758,annotation,Guanine,N,C18,M+H,Y,C00242,HMDB0000132
HILIC_152.081902638085_282.413273773882,annotation,Nalpha-Methylhistidine,N,C18,M+H-H2O,N,C03298,NA
HILIC_152.107053550663_283.323414540692,annotation,alpha-Methyl-m-tyramine,N,C18,M+H,N,C11776,NA
C18_152.986301191803_21.8885239535762,annotation,(2S)-3-Sulfolactaldehyde,N,C18,M-H,N,C21181,NA
C18_153.005618173547_26.6907950375368,annotation,Dithioerythritol,N,C18,M-H,N,C00950,NA
C18_153.019353070848_287.841615199245,annotation,"2,6-Dihydroxybenzoate",N,C18,M-H,N,C21298,NA
C18_153.030580482151_288.487101389292,annotation,Imidazol-5-yl-pyruvate,N,C18,M-H,Y,C03277,NA
HILIC_153.054634186791_31.3100705906666,annotation,L-Noradrenaline,N,C18,M+H-NH3,N,C00547,HMDB0000216
HILIC_153.065834530186_38.8792299753183,annotation,2-Amino-4-nitrotoluene,Y,C18,M+H,Y,C16398,NA
HILIC_153.065834530186_38.8792299753183,annotation,4-Amino-2-nitrotoluene,Y,C18,M+H,Y,C18320,NA
C18_153.067024778572_82.8708828146349,annotation,Phenylenediamine,N,C18,M+FA-H,Y,C02454,HMDB0254282
C18_153.066969316643_291.95313110423,annotation,"1,2-Diaminobenzene",N,C18,M+FA-H,N,C14402,HMDB0255864
HILIC_153.127408614066_285.992670148137,annotation,(-)-Perillyl alcohol,N,C18,M+H,N,C02452,HMDB0003634
C18_154.014618758966_285.464654481182,annotation,4-Nitrocatechol,N,C18,M-H,N,C02235,HMDB0002916
HILIC_154.047256391242_75.7347729314798,annotation,5-Aminolevulinate,N,C18,M+Na,N,C00430,HMDB0001149
HILIC_154.049878103445_284.916250607401,annotation,3-Hydroxyanthranilate,N,C18,M+H,N,C00632,HMDB0001476
C18_154.050879699201_35.9437377399476,annotation,"(3S,5S)-Carbapenam-3-carboxylic acid",N,C18,M-H,Y,C17367,NA
C18_154.062217288717_35.9196579746965,annotation,L-Histidine,N,C18,M-H,Y,C00135,HMDB0000177
C18_154.07367184997_37.0970673834779,annotation,Deisopropylhydroxyatrazine,N,C18,M-H,Y,C06557,NA
HILIC_154.097596404872_38.7078574153225,annotation,4-(beta-Acetylaminoethyl)imidazole,N,C18,M+H,Y,C05135,HMDB0013253
C18_154.990041317533_260.244115665803,annotation,2-Chlorobenzoate,N,C18,M-H,N,C02357,HMDB0245065
C18_155.00980958977_263.038606145541,annotation,Orotate,N,C18,M-H,N,C00295,HMDB0000226
C18_155.046252774064_289.94359940704,annotation,(S)-3-(Imidazol-5-yl)lactate,N,C18,M-H,N,C03817,NA
HILIC_155.070229918779_25.8579387593886,annotation,Vanillyl alcohol,N,C18,M+H,Y,C06317,HMDB0032012
C18_155.107778647955_37.6932062753312,annotation,4-Hydroxynonenal,N,C18,M-H,N,C21642,NA
C18_156.030264912318_287.703032328953,annotation,3-Hydroxy-4H-pyrid-4-one,N,C18,M+FA-H,N,C03927,HMDB0256965
HILIC_156.041912927204_63.4029850149593,annotation,N-Methylethanolamine phosphate,N,C18,M+H,N,C01210,HMDB0060173
HILIC_156.06551021055_283.885530071703,annotation,"(5S,6S)-6-Amino-5-hydroxycyclohexa-1,3-diene-1-carboxylate",N,C18,M+H,Y,C19830,NA
HILIC_156.065945736735_65.5360458928035,annotation,"(3S,5S)-Carbapenam-3-carboxylic acid",N,C18,M+H,Y,C17367,NA
C18_156.066540873768_34.9066241913461,annotation,3-Methylcrotonylglycine,N,C18,M-H,N,C20828,NA
HILIC_156.076796196108_108.771330411648,annotation,L-Histidine,N,C18,M+H,Y,C00135,HMDB0000177
HILIC_156.088420532427_173.406191546193,annotation,Deisopropylhydroxyatrazine,N,C18,M+H,Y,C06557,NA
HILIC_156.101949530332_285.791037268798,annotation,Arecoline,N,C18,M+H,N,C10129,HMDB0030353
C18_157.005950823634_261.080569497451,annotation,Chlorobenzene,N,C18,M+FA-H,N,C06990,HMDB0041855
C18_157.02544783641_285.872374739609,annotation,(S)-Dihydroorotate,N,C18,M-H,N,C00337,HMDB0000528
HILIC_157.048344839207_64.4415457800909,annotation,Dihydropteridine,N,C18,M+Na,Y,C05649,HMDB0001441
C18_157.050552446055_19.7690643865698,annotation,2-Isopropylmaleate,N,C18,M-H,N,C02631,HMDB0012241
HILIC_157.06077173381_86.6757415267265,annotation,Imidazole lactate,N,C18,M+H,N,C05568,HMDB0253418
C18_157.12340357219_90.4150379081549,annotation,Nonanoic acid,N,C18,M-H,Y,C01601,HMDB0000847
C18_158.082206661644_191.505860564007,annotation,5-Acetamidopentanoate,N,C18,M-H,Y,C03087,HMDB0012175
HILIC_158.128827815515_84.2177334801353,annotation,Carboxynorspermidine,N,C18,M+H-H2O,N,C18174,NA
C18_159.029863894819_20.1878376953734,annotation,2-Oxoadipate,N,C18,M-H,N,C00322,HMDB0000225
HILIC_159.04360310501_63.8032297469191,annotation,Ferulate,N,C18,M+H-2H2O,N,C01494,HMDB0000954
HILIC_159.064645735273_86.0277299720666,annotation,"(2R,3S)-3-Isopropylmalate",N,C18,M+H-H2O,Y,C04411,HMDB0012156
C18_159.066259700305_176.195408689945,annotation,Pimelate,N,C18,M-H,N,C02656,HMDB0000857
HILIC_159.076438140818_86.6769970031632,annotation,5-Hydroxyectoine,N,C18,M+H,N,C16432,NA
C18_159.102629908704_27.7113281596023,annotation,4-Hydroxyvalproic acid,Y,C18,M-H,N,C16649,HMDB0013900
C18_159.102629908704_27.7113281596023,annotation,5-Hydroxyvalproic acid,Y,C18,M-H,N,C16650,HMDB0013898
HILIC_159.112790434699_95.3608916657564,annotation,Octane,N,C18,M+2Na-H,N,C01387,HMDB0001485
C18_159.1139294283_81.4976215788949,annotation,L-Carnitinamide,N,C18,M-H,Y,C02290,NA
C18_160.040448650269_92.2596956025801,annotation,"Quinoline-3,4-diol",N,C18,M-H,N,C06330,NA
HILIC_160.060414087905_96.1736821077074,annotation,4-Methylene-L-glutamate,N,C18,M+H,N,C00651,HMDB0029433
HILIC_160.060449309604_287.594840886537,annotation,N-Methyl-2-oxoglutaramate,N,C18,M+H,N,C03623,NA
HILIC_160.096820460118_68.6888581310812,annotation,5-Acetamidopentanoate,N,C18,M+H,Y,C03087,HMDB0012175
HILIC_160.18084964322_175.482690393831,annotation,sym-Homospermidine,N,C18,M+H,N,C06366,HMDB0031506
C18_161.009157144943_23.8659680219203,annotation,(4R)-4-Hydroxy-2-oxoglutarate,N,C18,M-H,N,C05946,HMDB0060466
C18_161.045527887506_28.6301627536564,annotation,2-Dehydro-3-deoxy-L-fuconate,N,C18,M-H,N,C03827,NA
C18_161.063987668233_286.162509129938,annotation,7-Mercaptoheptanoic acid,N,C18,M-H,Y,C16593,NA
HILIC_161.091930415744_283.059602525059,annotation,N(gamma)-Acetyldiaminobutyrate,N,C18,M+H,N,C06442,HMDB0031411
C18_161.093185050118_92.9171775471425,annotation,2-Deoxystreptamine,N,C18,M-H,Y,C02627,NA
HILIC_161.128407816326_173.307758336517,annotation,Bethanechol,N,C18,M+H,N,C06850,HMDB0015154
C18_162.023037298592_24.6281797872492,annotation,Acetylcysteine,N,C18,M-H,Y,C06809,HMDB0001890
HILIC_162.055000517706_284.409215319833,annotation,"4,8-Dihydroxyquinoline",N,C18,M+H,N,C05637,HMDB0060289
HILIC_162.076103913562_37.6124399091619,annotation,1-Amino-1-deoxy-scyllo-inositol,N,C18,M+H-H2O,N,C01214,NA
HILIC_162.091510343765_63.2046867054855,annotation,Pseudooxynicotine,N,C18,M+H-NH3,N,C20361,HMDB0001240
HILIC_162.112457905256_60.7698796133254,annotation,L-Carnitine,N,C18,M+H,N,C00318,HMDB0000062
C18_163.024813612518_21.5369825381858,annotation,3-Oxoisoapionate,N,C18,M-H,N,C22220,NA
C18_163.040092108837_30.328821759129,annotation,Phenylpyruvate,N,C18,M-H,Y,C00166,HMDB0000205
C18_163.061234101355_27.6628938554287,annotation,L-Rhamnulose,N,C18,M-H,N,C00861,HMDB0010207
HILIC_163.075292436431_25.6573637604694,annotation,Coniferyl alcohol,N,C18,M+H-H2O,Y,C00590,HMDB0012915
HILIC_163.075378711015_223.460927579104,annotation,Isopropylparaben,N,C18,M+H-H2O,N,C20343,HMDB0253675
HILIC_163.086588478894_38.5147214110323,annotation,5-Methoxy-6-methylbenzimidazole,N,C18,M+H,N,C22451,NA
HILIC_163.12293451087_45.2105131064828,annotation,Nicotine,N,C18,M+H,N,C00745,HMDB0001934
C18_164.021438155433_86.6868398651335,annotation,"1,6-Didemethyltoxoflavin",N,C18,M-H,N,C21956,NA
C18_164.035383676716_286.91334258439,annotation,4-Pyridoxolactone,Y,C18,M-H,N,C00971,HMDB0003454
C18_164.035383676716_286.91334258439,annotation,5-Pyridoxolactone,Y,C18,M-H,N,C06052,HMDB0004291
HILIC_164.070632540199_284.859914244685,annotation,3-Methyldioxyindole,N,C18,M+H,Y,C05834,HMDB0004186
C18_164.071656419552_29.7362411785962,annotation,L-Phenylalanine,N,C18,M-H,Y,C00079,HMDB0000159
HILIC_164.091762843589_85.1908393595992,annotation,2-Deoxy-scyllo-inosamine,N,C18,M+H,Y,C17580,NA
HILIC_164.107126544907_237.463173770426,annotation,N-(2-Phenylethyl)-acetamide,N,C18,M+H,N,C06746,HMDB0255222
C18_165.019296644117_210.322853362184,annotation,Phthalate,N,C18,M-H,N,C01606,HMDB0002107
HILIC_165.05462580302_57.9172753769387,annotation,Phenylpyruvate,N,C18,M+H,Y,C00166,HMDB0000205
C18_165.055680619948_29.4380244206214,annotation,Tropate,N,C18,M-H,Y,C01456,HMDB0062590
HILIC_165.065958873497_283.832089027846,annotation,Azatyrosine,N,C18,M+H-H2O,N,C21325,NA
HILIC_165.067533137375_186.209424957538,annotation,1-Methylnaphthalene,Y,C18,M+Na,N,C14082,HMDB0032860
HILIC_165.067533137375_186.209424957538,annotation,2-Methylnaphthalene,Y,C18,M+Na,N,C14098,NA
HILIC_165.070400322208_183.86484306738,annotation,Fluoren-9-ol,N,C18,M+H-H2O,Y,C06711,HMDB0059803
C18_165.09207824814_34.028975735612,annotation,Cumene,N,C18,M+FA-H,Y,C14396,HMDB0034029
C18_166.014546765075_31.1829346256498,annotation,Quinolinate,N,C18,M-H,N,C03722,HMDB0000232
C18_166.014556939068_285.497792070104,annotation,o-Nitrobenzoate,N,C18,M-H,N,C16234,HMDB0245255
HILIC_166.026848800877_288.453260796507,annotation,Demethylphosphinothricin,N,C18,M+H,Y,C17962,NA
HILIC_166.053297122833_85.5584336690936,annotation,L-Methionine S-oxide,N,C18,M+H,Y,C02989,HMDB0002005
HILIC_166.062905268708_144.017252971245,annotation,2-Naphthylamine,N,C18,M+Na,N,C02227,HMDB0041802
HILIC_166.072106907778_88.931554400295,annotation,7-Methylguanine,N,C18,M+H,N,C02242,HMDB0000897
HILIC_166.086248194123_50.246203527487,annotation,L-Phenylalanine,N,C18,M+H,Y,C00079,HMDB0000159
HILIC_166.122657500693_34.4416695094808,annotation,Ephedrine,N,C18,M+H,N,C01575,HMDB0015451
C18_166.998583849894_291.487398124051,annotation,2-Oxo-3-(5-oxofuran-2-ylidene)propanoate,N,C18,M-H,N,C20366,NA
C18_167.001794520384_94.7248546538966,annotation,3-Mercaptolactate,N,C18,M+FA-H,N,C05823,HMDB0002127
HILIC_167.008682110063_253.97742795908,annotation,4-Hydroxybenzaldehyde,N,C18,M+2Na-H,Y,C00633,HMDB0011718
C18_167.009847782532_291.697033412684,annotation,"1,2-Dinitrobenzene",N,C18,M-H,N,C14702,HMDB0244084
C18_167.020998383619_24.1854985898863,annotation,Urate,N,C18,M-H,Y,C00366,HMDB0000289
HILIC_167.031511942736_55.7247713180821,annotation,Triacetate,N,C18,M+Na,N,C01757,HMDB0259137
HILIC_167.033903918104_26.6220717773409,annotation,4-Hydroxyphenylglyoxylate,N,C18,M+H,N,C03590,NA
C18_167.034563436161_25.002875960167,annotation,Homogentisate,N,C18,M-H,N,C00544,HMDB0000130
C18_167.035212557498_292.484740573916,annotation,(S)-4-Hydroxymandelate,N,C18,M-H,N,C03198,NA
C18_167.046178691176_292.318905679722,annotation,Nicotinamide,N,C18,M+FA-H,Y,C00153,HMDB0001406
HILIC_167.048561613456_185.473234637322,annotation,"2,2',3-Trihydroxybiphenyl",N,C18,M+H-2H2O,N,C03569,NA
C18_167.071342226867_294.382447155978,annotation,4-Cresol,N,C18,M+Hac-H,N,C01468,HMDB0001858
HILIC_167.10663038157_29.6392621239288,annotation,Perillic acid,N,C18,M+H,N,C11924,HMDB0004586
HILIC_167.106714916013_285.066786418606,annotation,"(+)-Bornane-2,5-dione",Y,C18,M+H,N,C03037,NA
HILIC_167.106714916013_285.066786418606,annotation,"(-)-Bornane-2,5-dione",Y,C18,M+H,N,C21929,NA
C18_167.997173538343_23.4501578762611,annotation,L-Cysteate,N,C18,M-H,Y,C00506,HMDB0002757
C18_168.006887228232_91.7298850710537,annotation,2-Amino-3-phosphonopropanoate,N,C18,M-H,Y,C05672,HMDB0000370
C18_168.03022956782_291.916098806466,annotation,4-Methyl-5-nitrocatechol,N,C18,M-H,N,C18315,NA
C18_168.04306093057_34.3496615612742,annotation,Phosphodimethylethanolamine,N,C18,M-H,Y,C13482,HMDB0060236
HILIC_168.065585071538_291.274101803952,annotation,L-4-Hydroxyphenylglycine,N,C18,M+H,N,C12323,NA
HILIC_168.065560015909_94.6765020633213,annotation,p-Aminosalicylic acid methyl ester,Y,C18,M+H,N,C14170,NA
HILIC_168.065560015909_94.6765020633213,annotation,Orthoform,Y,C18,M+H,N,C14171,NA
HILIC_168.07681602604_97.9925459312263,annotation,"2,4-Diamino-6-nitrotoluene",N,C18,M+H,N,C16396,HMDB0060362
C18_168.077845474974_38.0736219589941,annotation,N(pi)-Methyl-L-histidine,N,C18,M-H,Y,C01152,HMDB0000001
HILIC_168.101902411664_42.7772086632022,annotation,3-Methoxytyramine,N,C18,M+H,N,C05587,HMDB0000022
C18_168.990756991012_21.662140329294,annotation,Glycerone phosphate,N,C18,M-H,N,C00111,HMDB0001473
C18_169.017070216858_284.968124070391,annotation,5-Hydroxybenzimidazole,N,C18,M+Cl,N,C21764,NA
C18_169.050617487402_31.1080325940271,annotation,"3,4-Dihydroxyphenylethyleneglycol",N,C18,M-H,N,C05576,HMDB0000318
C18_169.050642830233_287.572685201856,annotation,5-Methyl-2-furaldehyde,N,C18,M+Hac-H,N,C11115,HMDB0033002
HILIC_169.09718331125_37.6254243078722,annotation,Pyridoxamine,N,C18,M+H,Y,C00534,HMDB0001431
HILIC_169.122282959409_25.5906261312195,annotation,6-Oxocineole,N,C18,M+H,N,C00848,NA
HILIC_170.012510175773_249.803801365423,annotation,L-Cysteate,N,C18,M+H,Y,C00506,HMDB0002757
HILIC_170.023101306412_203.4284901225,annotation,Xanthurenic acid,N,C18,M+H-2H2O,N,C02470,HMDB0000881
